,0,1,2,3,4,5,6,7,micro avg,macro avg,weighted avg
precision,0.47890818858560796,0.328125,0.24390243902439024,0.3852813852813853,0.28884826325411334,0.3411764705882353,0.3008849557522124,0.30709876543209874,0.3304911323328786,0.33427818348975535,0.33423787118053067
recall,0.5273224043715847,0.28688524590163933,0.16348773841961853,0.24250681198910082,0.4305177111716621,0.07923497267759563,0.37057220708446864,0.5437158469945356,0.3304911323328786,0.33053036732627566,0.3304911323328786
f1-score,0.5019505851755527,0.30612244897959184,0.19575856443719414,0.2976588628762542,0.34573304157549234,0.12860310421286034,0.33211233211233215,0.39250493096646943,0.3304911323328786,0.3125554837919684,0.31252855366435356
support,366.0,366.0,367.0,367.0,367.0,366.0,367.0,366.0,2932.0,2932.0,2932.0
