,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.9333000183105469,"truth, great, world, religious, brother, people, place, law, faith, man","['remarkable', 'fact', 'great', 'religion', 'world', 'many', 'striking', 'coincidence', 'philosophical', 'basis', 'ethical', 'application', 'faith', 'mode', 'different', 'difficult', 'understand', 'agreement', 'animosity', 'sentiment', 'friendship', 'goodwill']"
1,1.0,0.9226999878883362,"self, source, good, evil, thing, water, man, teacher, other, order","['fountainhead', 'table', 'reference', 'possible', 'main', 'source', 'various', 'chapter', 'point', 'western', 'christian', 'gospel']"
2,2.0,0.8626000285148621,"life, mind, time, death, thought, name, art, soul, day, existence","['mind', 'brahmās', 'culture', 'elevate', 'mind', 'mind', 'guiding', 'life', 'mind']"
3,3.0,0.9215999841690063,"path, body, heart, wisdom, full, eye, high, right, salvation, pleasure","['palace', 'siddhattha', 'manliness', 'beauty', 'thoughtfulness', 'countenance', 'happy', 'mother', 'happy', 'wife', 'husband', 'glorious']"
4,4.0,0.875,"man, deed, disciple, noble, venerable, blessed, robe, food, year, family","['bestow', 'robe', 'season', 'food', 'incoming', 'food', 'outgoing', 'food', 'sick', 'food', 'sick', 'medicine', 'sick', 'constant', 'supply', 'ricemilk', 'sangha', 'bathing', 'robe', 'bhikkhunīs', 'sister']"
