,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.9165999889373779,"good, common, reason, body, opinion, soul, natural, great, other, present","['god', 'tomorrow', 'next', 'day', 'wert', 'pusillanimous', 'great', 'benefit', 'next', 'day', 'tomorrow', 'alas']"
1,1.0,0.9092000126838684,"man, thing, many, part, world, death, word, pleasure, bad, good","['outside', 'thing', 'good', 'bad', 'health', 'sickness', 'poverty', 'pleasure', 'pain', 'indifferent']"
2,2.0,0.8822000026702881,"action, proper, ad, life, end, whole, reasonable, certain, creature, heart","['action', 'thought', 'imagination', 'unnecessary', 'unnecessary', 'consequent', 'action', 'cut']"
3,3.0,0.9398999810218811,"nature, true, time, little, much, long, particular, matter, philosophy, substance","['order', 'accord', 'nature', 'necessary', 'nature', 'threefold', 'division', 'philosophy', 'physics', 'universe', 'law', 'problem', 'divine', 'government', 'teleology', 'logic', 'train', 'discern', 'true', 'false', 'ethic', 'knowledge', 'practical', 'life']"
4,4.0,0.8734999895095825,"thing, doth, thee, mind, letter, power, kind, art, friend, manner","['fault', 'absence', 'company', 'intimate', 'friend', 'example', 'look', 'fitting', 'banquet']"
