,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.9157000184059143,"verse, merciful, day, year, night, thing, book, sura, religion, many","['order', 'arabic', 'edition', 'arabic', 'authentic', 'tradition', 'shew', 'authority', 'muhammad']"
1,1.0,0.9168999791145325,"great, truth, certain, history, way, prophet, much, historical, purpose, public","['sequence', 'available', 'historical', 'literary', 'evidence', 'order', 'chapter', 'reader', 'able', 'trace', 'development', 'prophet', 'early', 'flush', 'inspiration', 'spiritual', 'equivocal', 'founder', 'empire']"
2,2.0,0.9244999885559082,"life, time, word, early, muhammad, tradition, period, fire, passage, jewish","['early', 'fragmentary', 'sura', 'first', 'order', 'reference', 'subject', 'matter', 'historical', 'allusion', 'sura', 'hand', 'language', 'selfcommunion', 'aspiration', 'mental', 'struggle', 'picture', 'natural', 'object', 'opposition']"
3,3.0,0.9204999804496765,"man, mind, new, work, allusion, sign, case, old, character, power","['whole', 'strike', 'work', 'career', 'rhetorical', 'poetical', 'form', 'likely', 'win', 'attract', 'countryman', 'dogmatic', 'teacher', 'politic', 'founder', 'system', 'law', 'regulation', 'occasion']"
4,4.0,0.8237000107765198,"name, compassionate, divine, thee, sale, expression, praise, note, earth, later","['introduction', 'note', 'selection', 'explanatory', 'note', 'sale', 'writer', 'murdock']"
