,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.9390000104904175,"earth, seed, place, brother, land, thee, thing, stone, behold, good","['thing', 'flesh', 'fowl', 'cattle', 'thing', 'creepeth', 'earth', 'earth', 'fruitful', 'multiply', 'earth']"
1,1.0,0.9002000093460083,"day, wife, year, hand, old, child, great, night, way, life","['man', 'good', 'evil', 'l', 'hand', 'tree', 'life', 'eat']"
2,2.0,0.835099995136261,"man, water, sheep, mother, young, death, drink, early, mountain, pitcher","['little', 'water', 'pitcher', 'drink']"
3,3.0,0.8284000158309937,"son, servant, father, city, eye, wine, righteous, heart, peradventure, presence","['righteous', 'wicked', 'peradventure', 'righteous', 'city']"
4,4.0,0.8237000107765198,"daughter, people, nation, son, camel, thy, year, blessing, begat, master","['son', 'family', 'country', 'nation']"
