,Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0,0.0,0.9319999814033508,"thing, many, great, seed, wilderness, child, commandment, heart, man, time","['book', 'ether', 'people', 'time', 'language', 'people', 'show', 'remnant', 'thing', 'father', 'covenant']"
1,1.0,0.8899999856948853,"land, brother, wilderness, water, ship, people, nation, captivity, family, work","['daughter', 'wife', 'daughter', 'wife', 'eld', 'daughter', 'wife']"
2,2.0,0.9071999788284302,"word, wherefore, behold, church, precious, abominable, plain, apostle, lamb, great","['behold', 'gold', 'silver', 'silk', 'scarlet', 'linen', 'precious', 'clothing', 'harlot', 'desire', 'great', 'abominable', 'church']"
3,3.0,0.7853999733924866,"gentile, beheld, space, fruit, tree, man, truth, multitude, kingdom, building","['righteous', 'garment', 'white', 'blood']"
4,4.0,0.8734999895095825,"food, plate, insomuch, record, laban, mountain, desirous, father, brass, bow","['laban', 'record', 'plate', 'brass', 'genealogy', 'father']"
